Date,Time,Temp,RH,WD,WS,GS,Rain,PAR
12/09/19,12:00:00PM,73.904,75.7,226,142.52,32.1,0,901.2
12/09/19,12:10:00PM,73.688,75.9,230.2,12.95,18.59,0,976.2
12/09/19,12:20:00PM,74.12,74.5,227.4,14.09,20.85,0,1066.2
12/09/19,12:30:00PM,74.077,73.7,226,13.51,24.23,0,1116.2
12/09/19,12:40:00PM,73.688,73.3,223.2,13.51,21.41,0,488.7
12/09/19,12:50:00PM,74.77,71.6,220.4,11.27,18.59,0,441.2
12/09/19,01:00:00PM,76.114,70,221.8,10.69,19.71,0,891.2
12/09/19,01:10:00PM,75.16,71.1,221.8,11.83,18.59,0,1038.7
12/09/19,01:20:00PM,75.942,69.4,220.4,10.69,20.29,0,673.7
12/09/19,01:30:00PM,75.81,68.3,223.2,11.27,20.85,0,1026.2
12/09/19,01:40:00PM,75.985,69,224.6,11.27,20.29,0,811.2
12/09/19,01:50:00PM,75.985,69.5,212,7.9,14.65,0,671.2
12/09/19,02:00:00PM,76.332,68.2,226,9.01,18.03,0,628.7
12/09/19,02:10:00PM,75.551,67.7,224.6,9.57,16.89,0,523.7
12/09/19,02:20:00PM,75.942,67.6,220.4,7.31,15.77,0,508.7
12/09/19,02:30:00PM,76.375,65.9,219,7.9,14.09,0,743.7
12/09/19,02:40:00PM,75.942,66.6,223.2,9.57,18.03,0,536.2
12/09/19,02:50:00PM,76.464,65,213.4,6.76,13.51,0,621.2
12/09/19,03:00:00PM,75.767,65.5,226,10.69,16.33,0,521.2
12/09/19,03:10:00PM,75.767,66.3,224.6,7.9,13.51,0,358.7
12/09/19,03:20:00PM,75.724,66.9,227.4,9.57,15.21,0,381.2
12/09/19,03:30:00PM,76.114,66.4,224.6,7.9,12.95,0,366.2
12/09/19,03:40:00PM,75.898,66.9,224.6,7.9,12.95,0,278.7
12/09/19,03:50:00PM,75.074,68,224.6,7.31,11.27,0,186.2
12/09/19,04:00:00PM,74.683,69,224.6,7.31,11.27,0,163.7
12/09/19,04:10:00PM,74.206,70.3,221.8,2.82,8.46,0,126.2
12/09/19,04:20:00PM,73.861,70.7,217.6,4.5,9.57,0,98.7
12/09/19,04:30:00PM,73.386,71.8,224.6,5.08,10.69,0,76.2
12/09/19,04:40:00PM,72.997,73.1,227.4,3.94,6.76,0,61.2
12/09/19,04:50:00PM,72.307,74.2,221.8,2.82,5.64,0,26.2
12/09/19,05:00:00PM,71.92,75.3,221.8,2.82,5.64,0,6.2
12/09/19,05:10:00PM,71.06,77.1,210.6,1.12,4.5,0,1.2
12/09/19,05:20:00PM,70.63,78.7,199.4,0.56,3.94,0,1.2
12/09/19,05:30:00PM,69.985,79.9,214.8,1.12,3.94,0,1.2
12/09/19,05:40:00PM,69.985,81.2,217.6,1.12,3.94,0,1.2
12/09/19,05:50:00PM,69.514,81.8,205,1.12,4.5,0,1.2
12/09/19,06:00:00PM,68.999,82.8,200.8,0.56,3.94,0,1.2
12/09/19,06:10:00PM,68.4,83.6,198,0,2.26,0,1.2
12/09/19,06:20:00PM,68.227,84.3,198,0,2.26,0,1.2
12/09/19,06:30:00PM,67.671,84.7,205,0,2.82,0,1.2
12/09/19,06:40:00PM,67.158,85.8,210.6,0,1.7,0,1.2
12/09/19,06:50:00PM,66.772,86.7,210.6,0,1.7,0,1.2
12/09/19,07:00:00PM,68.142,87.9,286.4,3.94,8.46,0,1.2
12/09/19,07:10:00PM,69.643,82.5,297.6,5.64,12.39,0,1.2
12/09/19,07:20:00PM,69.557,77.7,310.3,3.94,9.01,0,1.2
12/09/19,07:30:00PM,69.427,72.8,320.1,3.38,7.9,0,1.2
12/09/19,07:40:00PM,69.427,69.8,315.9,3.94,9.01,0,1.2
12/09/19,07:50:00PM,68.742,69.9,303.2,3.38,7.31,0,1.2
12/09/19,08:00:00PM,68.227,70.6,317.3,3.38,7.31,0,1.2
12/09/19,08:10:00PM,67.671,70.3,320.1,3.94,7.31,0,1.2
12/09/19,08:20:00PM,66.985,71.2,315.9,2.82,9.57,0,1.2
12/09/19,08:30:00PM,66.943,70.9,318.7,3.38,7.31,0,1.2
12/09/19,08:40:00PM,66.814,69.6,328.5,3.94,8.46,0,1.2
12/09/19,08:50:00PM,66.686,68.2,324.3,5.08,11.27,0,1.2
12/09/19,09:00:00PM,66.472,64.8,324.3,6.2,11.27,0,1.2
12/09/19,09:10:00PM,66.087,65.3,321.5,3.94,7.31,0,1.2
12/09/19,09:20:00PM,66,64.3,321.5,3.38,9.57,0,1.2
12/09/19,09:30:00PM,65.574,65.6,322.9,5.08,9.01,0,1.2
12/09/19,09:40:00PM,65.145,66.5,321.5,5.08,10.13,0,1.2
12/09/19,09:50:00PM,64.888,65.5,324.3,5.64,12.39,0,1.2
12/09/19,10:00:00PM,64.332,65.8,332.7,7.31,15.77,0,1.2
12/09/19,10:10:00PM,63.862,62.9,327.1,6.76,14.65,0,1.2
12/09/19,10:20:00PM,63.433,63,336.9,5.08,11.27,0,1.2
12/09/19,10:30:00PM,63.133,62.8,335.5,3.38,7.9,0,1.2
